"Time","N_Lat","N_Lon","S_Lat","S_Lon","C_Lat","C_Lon","Ratio","Sun_Alt","Sun_Azm","Path_Width","Duration"
" 16:40   ",NA,NA,-7.60333333333333,-152.908333333333,-7.635,-157.186666666667,1.04,1,"  82",146,"  02m08.8s"
" 16:42   ",-5.51,-149.793333333333,-6.195,-146.633333333333,-5.83666666666667,-148.13,1.043,11,"  81",159,"  02m27.5s"
" 16:44   ",-4.34166666666667,-145.493333333333,-5.14,-143.01,-4.73333333333333,-144.216666666667,1.044,16,"  81",166,"  02m36.8s"
" 16:46   ",-3.35333333333333,-142.46,-4.205,-140.26,-3.77333333333333,-141.338333333333,1.045,19,"  81",171,"  02m44.2s"
" 16:48   ",-2.45166666666667,-140.03,-3.33666666666667,-137.991666666667,-2.88833333333333,-138.995,1.046,22,"  81",174,"  02m50.6s"
" 16:50   ",-1.60333333333333,-137.975,-2.51333333333333,-136.041666666667,-2.055,-136.995,1.047,25,"  81",178,"  02m56.3s"
" 16:52   ",-0.795,-136.176666666667,-1.72333333333333,-134.316666666667,-1.25666666666667,-135.235,1.048,27,"  81",181,"  03m01.6s"
" 16:54   ",-0.0166666666666667,-134.57,-0.96,-132.765,-0.485,-133.658333333333,1.048,29,"  81",183,"  03m06.4s"
" 16:56   ",0.74,-133.115,-0.216666666666667,-131.351666666667,0.265,-132.225,1.049,31,"  81",186,"  03m10.9s"
" 16:58   ",1.47666666666667,-131.78,0.51,-130.05,0.995,-130.908333333333,1.05,33,"  82",188,"  03m15.2s"
" 17:00   ",2.19666666666667,-130.545,1.22,-128.841666666667,1.71166666666667,-129.686666666667,1.05,35,"  82",190,"  03m19.3s"
" 17:02   ",2.90333333333333,-129.393333333333,1.91833333333333,-127.713333333333,2.41333333333333,-128.546666666667,1.05,37,"  82",192,"  03m23.1s"
" 17:04   ",3.59833333333333,-128.313333333333,2.60666666666667,-126.651666666667,3.105,-127.476666666667,1.051,38,"  83",193,"  03m26.8s"
" 17:06   ",4.28333333333333,-127.295,3.28333333333333,-125.65,3.78666666666667,-126.466666666667,1.051,40,"  83",194,"  03m30.3s"
" 17:08   ",4.95833333333333,-126.331666666667,3.95333333333333,-124.7,4.45833333333333,-125.51,1.052,41,"  84",196,"  03m33.7s"
" 17:10   ",5.625,-125.415,4.61333333333333,-123.796666666667,5.12166666666667,-124.601666666667,1.052,43,"  84",197,"  03m36.9s"
" 17:12   ",6.285,-124.541666666667,5.26666666666667,-122.933333333333,5.77833333333333,-123.733333333333,1.052,44,"  85",198,"  03m40.0s"
" 17:14   ",6.93833333333333,-123.706666666667,5.91333333333333,-122.106666666667,6.42666666666667,-122.901666666667,1.053,46,"  86",199,"  03m42.9s"
" 17:16   ",7.58333333333333,-122.903333333333,6.555,-121.311666666667,7.07166666666667,-122.103333333333,1.053,47,"  86",199,"  03m45.8s"
" 17:18   ",8.225,-122.131666666667,7.19,-120.546666666667,7.70833333333333,-121.335,1.053,48,"  87",200,"  03m48.5s"
" 17:20   ",8.86,-121.386666666667,7.82,-119.808333333333,8.34166666666667,-120.593333333333,1.053,49,"  88",201,"  03m51.1s"
" 17:22   ",9.49,-120.666666666667,8.44666666666667,-119.095,8.97,-119.876666666667,1.054,51,"  89",201,"  03m53.6s"
" 17:24   ",10.1166666666667,-119.968333333333,9.06666666666667,-118.403333333333,9.59333333333333,-119.181666666667,1.054,52,"  90",202,"  03m56.0s"
" 17:26   ",10.7383333333333,-119.291666666667,9.685,-117.73,10.2116666666667,-118.506666666667,1.054,53,"  91",202,"  03m58.4s"
" 17:28   ",11.3566666666667,-118.631666666667,10.2983333333333,-117.076666666667,10.8283333333333,-117.85,1.054,54,"  92",202,"  04m00.6s"
" 17:30   ",11.9716666666667,-117.99,10.9066666666667,-116.438333333333,11.44,-117.21,1.055,55,"  93",202,"  04m02.7s"
" 17:32   ",12.5816666666667,-117.361666666667,11.5133333333333,-115.816666666667,12.0483333333333,-116.585,1.055,56,"  94",203,"  04m04.8s"
" 17:34   ",13.19,-116.748333333333,12.1166666666667,-115.206666666667,12.655,-115.973333333333,1.055,57,"  96",203,"  04m06.7s"
" 17:36   ",13.7966666666667,-116.146666666667,12.7166666666667,-114.61,13.2566666666667,-115.375,1.055,58,"  97",203,"  04m08.6s"
" 17:38   ",14.3983333333333,-115.556666666667,13.315,-114.023333333333,13.8566666666667,-114.786666666667,1.055,59,"  99",203,"  04m10.3s"
" 17:40   ",14.9983333333333,-114.975,13.91,-113.446666666667,14.455,-114.208333333333,1.055,60," 100",203,"  04m12.0s"
" 17:42   ",15.5966666666667,-114.405,14.5016666666667,-112.88,15.05,-113.638333333333,1.056,61," 102",203,"  04m13.6s"
" 17:44   ",16.1933333333333,-113.84,15.0916666666667,-112.32,15.6433333333333,-113.076666666667,1.056,62," 104",202,"  04m15.1s"
" 17:46   ",16.7866666666667,-113.283333333333,15.68,-111.766666666667,16.2333333333333,-112.523333333333,1.056,63," 105",202,"  04m16.5s"
" 17:48   ",17.3783333333333,-112.733333333333,16.265,-111.221666666667,16.8216666666667,-111.973333333333,1.056,64," 107",202,"  04m17.9s"
" 17:50   ",17.9683333333333,-112.188333333333,16.85,-110.68,17.4083333333333,-111.43,1.056,64," 109",202,"  04m19.1s"
