Category: All categories

Region,eyes hurt: (3/20/24 - 4/6/24),eyes hurting: (3/20/24 - 4/6/24),eye pain: (3/20/24 - 4/6/24)
Idaho,59%,,41%
Arkansas,48%,,52%
Indiana,49%,,51%
West Virginia,36%,,64%
Pennsylvania,38%,,62%
Michigan,41%,6%,53%
Mississippi,48%,,52%
Oklahoma,46%,,54%
Wisconsin,39%,,61%
Ohio,36%,5%,59%
New Hampshire,38%,,62%
Minnesota,37%,,63%
Alabama,35%,,65%
Virginia,34%,,66%
New York,38%,,62%
New Jersey,34%,,66%
Georgia,36%,,64%
Texas,35%,4%,61%
South Carolina,35%,,65%
Nevada,33%,,67%
Missouri,35%,,65%
North Carolina,32%,6%,62%
Illinois,32%,,68%
Kansas,42%,,58%
Kentucky,32%,,68%
Louisiana,30%,,70%
Maryland,30%,,70%
Tennessee,32%,,68%
Arizona,32%,,68%
Florida,32%,3%,65%
Iowa,40%,,60%
Washington,29%,,71%
California,31%,3%,66%
Massachusetts,30%,,70%
Connecticut,26%,,74%
Utah,35%,,65%
Oregon,26%,,74%
Colorado,23%,,77%
Alaska,,,
Rhode Island,,,100%
New Mexico,,,100%
South Dakota,,,
Nebraska,,,100%
North Dakota,,,
Montana,,,
Maine,,,100%
Vermont,,,
Hawaii,,,100%
Delaware,,,100%
District of Columbia,,,100%
Wyoming,,,
