Region,eyes hurting: (4/7/24 - 4/9/24)

Ohio,100
Georgia,78
New York,51
Florida,37
Texas,37
California,19
Alaska,
Wyoming,
Delaware,
Connecticut,
Colorado,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Arizona,
Arkansas,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
District of Columbia,
