Region, eye pain: (4/7/24 - 4/9/24)

Ohio,100
South Carolina,91
New York,89
New Jersey,83
Pennsylvania,82
Indiana,80
Maryland,80
Illinois,77
Missouri,76
North Carolina,76
Virginia,74
Colorado,73
Georgia,72
Michigan,70
Florida,70
Texas,68
California,67
Arizona,66
Massachusetts,65
Minnesota,58
Tennessee,53
Washington,42
Alaska,
Wyoming,
Louisiana,
Mississippi,
Montana,
Kentucky,
North Dakota,
Nebraska,
New Hampshire,
Kansas,
New Mexico,
Nevada,
Idaho,
Iowa,
Oklahoma,
Oregon,
Hawaii,
Rhode Island,
Delaware,
South Dakota,
District of Columbia,
Connecticut,
Utah,
Arkansas,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Maine,
