Categories: All

Region,eyes hurt: (4/7/24 - 4/9/24)
New Hampshire,100
Vermont,86
West Virginia,78
New Jersey,73
Arkansas,71
Oklahoma,70
District of Columbia,69
Michigan,68
Ohio,68
Indiana,67
Delaware,66
Pennsylvania,66
Massachusetts,65
Maryland,65
Kentucky,61
Connecticut,61
New York,61
North Carolina,60
Virginia,59
Illinois,59
Wisconsin,55
Maine,54
Texas,53
Georgia,50
Missouri,50
Alabama,45
Iowa,45
Florida,42
Mississippi,40
Arizona,38
South Carolina,38
Tennessee,36
Louisiana,36
Kansas,35
Nebraska,35
California,32
New Mexico,28
Colorado,27
Utah,25
Washington,23
Nevada,22
Minnesota,15
Alaska,
South Dakota,
Rhode Island,
Oregon,
North Dakota,
Montana,
Idaho,
Hawaii,
Wyoming,
