Category: All categories

Region,eyes hurt: (4/4/24 - 4/6/24)
Arkansas,100
Indiana,68
Michigan,59
Pennsylvania,59
Virginia,52
Illinois,41
Maryland,41
New York,39
Ohio,39
Georgia,37
New Jersey,36
North Carolina,32
Texas,30
Florida,28
Massachusetts,28
California,22
Alaska,
Wyoming,
Louisiana,
Kansas,
Idaho,
Maine,
Iowa,
Minnesota,
Missouri,
Mississippi,
Montana,
Hawaii,
North Dakota,
Nebraska,
New Hampshire,
Delaware,
New Mexico,
Nevada,
District of Columbia,
Connecticut,
Oklahoma,
Oregon,
Colorado,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arizona,
Utah,
Alabama,
Vermont,
Washington,
Wisconsin,
West Virginia,
Kentucky,
