Category: All categories

Region,eyes hurt: (4/8/24 - 4/8/24)
West Virginia,100
Delaware,79
District of Columbia,78
Rhode Island,72
Pennsylvania,68
Kentucky,67
Arkansas,66
New Jersey,66
Oklahoma,65
Connecticut,64
Indiana,64
Michigan,63
New York,63
Massachusetts,63
Maryland,57
Ohio,57
Illinois,56
North Carolina,56
Virginia,54
Iowa,53
New Hampshire,52
Georgia,50
Wisconsin,49
Texas,46
South Carolina,41
Florida,41
Alabama,39
Missouri,38
Kansas,35
Arizona,34
Louisiana,34
California,28
Tennessee,27
Utah,21
Colorado,21
Minnesota,19
Washington,15
Alaska,
Oregon,
Nevada,
New Mexico,
South Dakota,
Nebraska,
North Dakota,
Montana,
Mississippi,
Vermont,
Maine,
Idaho,
Hawaii,
Wyoming,
