Category: All categories

Region,eyes hurt: (4/6/24 - 4/6/24)
Indiana,100
Maryland,97
Ohio,64
New York,33
Texas,26
California,25
Alaska,
Wyoming,
Delaware,
Florida,
Georgia,
Hawaii,
Iowa,
Idaho,
Illinois,
Connecticut,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Colorado,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Arizona,
Arkansas,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
District of Columbia,
