Category: All categories

Region,eyes hurt: (4/7/24 - 4/7/24)
Georgia,100
Pennsylvania,97
Ohio,95
Virginia,92
New Jersey,90
Illinois,74
Texas,58
New York,58
Florida,50
California,40
Alaska,
Wyoming,
Iowa,
Idaho,
Delaware,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
District of Columbia,
New Mexico,
Nevada,
Connecticut,
Colorado,
Oklahoma,
Oregon,
Arizona,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arkansas,
Utah,
Alabama,
Vermont,
Washington,
Wisconsin,
West Virginia,
Hawaii,
