station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,state_abbr
EET,2024-04-04T00:53:00Z,55,29,36.69,300,8,0,29.72,1006.2,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,KEET 040053Z AUTO 30008KT 10SM CLR 13/M02 A2972 RMK AO2 SLP062 T01281017,NA,AL
EET,2024-04-04T01:53:00Z,53,29,39.47,290,5,0,29.75,1007,10,NA,FEW,NA,NA,NA,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,KEET 040153Z AUTO 29005KT 10SM FEW090 12/M02 A2975 RMK AO2 SLP070 T01171017,NA,AL
EET,2024-04-04T02:53:00Z,52,30,42.65,300,4,0,29.76,1007.5,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,KEET 040253Z AUTO 30004KT 10SM CLR 11/M01 A2976 RMK AO2 SLP075 T01111011 51025,NA,AL
EET,2024-04-04T03:53:00Z,50,30,45.93,290,5,0,29.77,1007.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,KEET 040353Z AUTO 29005KT 10SM CLR 10/M01 A2977 RMK AO2 SLP079 T01001011,NA,AL
EET,2024-04-04T04:53:00Z,48,31,51.54,280,4,0,29.77,1008,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,KEET 040453Z AUTO 28004KT 10SM CLR 09/M01 A2977 RMK AO2 SLP080 T00891006,NA,AL
EET,2024-04-04T05:53:00Z,47,31,53.52,280,3,0,29.78,1008.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.84,KEET 040553Z AUTO 28003KT 10SM CLR 08/M01 A2978 RMK AO2 SLP081 T00831006 10144 20083 402060083 51006,NA,AL
EET,2024-04-04T06:53:00Z,46,32,57.87,NA,4,0,29.78,1008.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.77,KEET 040653Z AUTO VRB04KT 10SM CLR 08/00 A2978 RMK AO2 SLP081 T00780000,NA,AL
EET,2024-04-04T07:53:00Z,45,31,57.73,290,5,0,29.78,1008.1,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.83,KEET 040753Z AUTO 29005KT 10SM CLR 07/M01 A2978 RMK AO2 SLP081 T00721006,NA,AL
EET,2024-04-04T08:53:00Z,44,31,59.97,240,4,0,29.79,1008.5,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.43,KEET 040853Z AUTO 24004KT 10SM CLR 07/M01 A2979 RMK AO2 SLP085 T00671006 53004,NA,AL
EET,2024-04-04T09:53:00Z,42,32,67.42,NA,3,0,29.79,1008.7,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.12,KEET 040953Z AUTO VRB03KT 10SM CLR 06/00 A2979 RMK AO2 SLP087 T00560000,NA,AL
EET,2024-04-04T10:53:00Z,40,32,72.85,180,3,0,29.8,1009,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.83,KEET 041053Z AUTO 18003KT 10SM CLR 04/00 A2980 RMK AO2 SLP090 T00440000,NA,AL
EET,2024-04-04T11:53:00Z,40,32,72.85,190,4,0,29.82,1009.5,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.76,KEET 041153Z AUTO 19004KT 10SM CLR 04/00 A2982 RMK AO2 SLP095 7//// T00440000 10083 20039 53008,NA,AL
EET,2024-04-04T12:53:00Z,45,34,65.13,NA,5,0,29.83,1010,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.83,KEET 041253Z AUTO VRB05KT 10SM CLR 07/01 A2983 RMK AO2 SLP100 T00720011,NA,AL
EET,2024-04-04T13:53:00Z,52,34,50.12,300,8,0,29.84,1010.1,10,14,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,KEET 041353Z AUTO 30008G14KT 10SM CLR 11/01 A2984 RMK AO2 SLP101 T01110011,NA,AL
EET,2024-04-04T14:53:00Z,56,33,41.6,270,10,0,29.84,1010.3,10,19,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,KEET 041453Z AUTO 27010G19KT 240V310 10SM CLR 13/01 A2984 RMK AO2 SLP103 T01330006 51009,NA,AL
EET,2024-04-04T15:53:00Z,58,32,37.18,270,12,0,29.84,1010.2,10,21,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,300,2024-04-04 15:40,58,KEET 041553Z AUTO 27012G21KT 230V290 10SM CLR 14/00 A2984 RMK AO2 PK WND 30026/1540 SLP102 T01440000,NA,AL
EET,2024-04-04T16:53:00Z,60,28,29.41,290,13,0,29.83,1009.9,10,23,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,KEET 041653Z AUTO 29013G23KT 10SM CLR 16/M02 A2983 RMK AO2 SLP099 T01561022,NA,AL
EET,2024-04-04T17:53:00Z,62,31,30.96,270,11,0,29.81,1009.2,10,20,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,320,2024-04-04 17:11,62,KEET 041753Z AUTO 27011G20KT 240V310 10SM CLR 17/M01 A2981 RMK AO2 PK WND 32028/1711 SLP092 T01671006 10167 20039 58010,NA,AL
EET,2024-04-04T18:53:00Z,64,30,27.71,280,9,0,29.8,1008.9,10,23,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,280,2024-04-04 18:33,64,KEET 041853Z AUTO 28009G23KT 220V320 10SM CLR 18/M01 A2980 RMK AO2 PK WND 28027/1833 SLP089 T01781011,NA,AL
EET,2024-04-04T19:53:00Z,65,29,25.69,290,14,0,29.79,1008.7,10,26,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,290,2024-04-04 19:01,65,KEET 041953Z AUTO 29014G26KT 10SM CLR 18/M02 A2979 RMK AO2 PK WND 29029/1901 SLP087 T01831017,NA,AL
EET,2024-04-04T20:53:00Z,65,28,24.66,NA,6,0,29.79,1008.5,10,21,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,KEET 042053Z AUTO VRB06G21KT 10SM CLR 18/M02 A2979 RMK AO2 SLP085 T01831022 56007,NA,AL
EET,2024-04-04T21:53:00Z,66,28,23.82,270,9,0,29.79,1008.4,10,21,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,KEET 042153Z AUTO 27009G21KT 210V310 10SM CLR 19/M02 A2979 RMK AO2 SLP084 T01891022,NA,AL
EET,2024-04-04T22:53:00Z,65,27,23.67,280,9,0,29.8,1008.8,10,21,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,KEET 042253Z AUTO 28009G21KT 240V310 10SM CLR 18/M03 A2980 RMK AO2 SLP088 T01831028,NA,AL
EET,2024-04-04T23:53:00Z,62,26,25.23,300,8,0,29.82,1009.8,10,21,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,KEET 042353Z AUTO 30008G21KT 10SM CLR 17/M03 A2982 RMK AO2 SLP098 T01671033 10189 20161 53012,NA,AL
EET,2024-04-05T00:53:00Z,59,28,30.48,300,7,0,29.86,1010.9,10,NA,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,KEET 050053Z AUTO 30007KT 10SM CLR 15/M02 A2986 RMK AO2 SLP109 T01501022,NA,AL
